[0/0] en-ewt (retroprobe)...
Path 'exp/run/retroprobe/en-ewt-rs41' does not exist. Creating...
Loaded data splits train: 28648, dev: 2419, test: 2175 with filter <UniversalDependenciesIndexFilter: 31067 indices>.
Loaded <UniversalDependenciesTreebank (all.conllu): 7664 sentences>.
Loaded <UniversalDependenciesTreebank (ar_padt-ud-dev.conllu): 909 sentences>.
Loaded <UniversalDependenciesTreebank (ar_padt-ud-test.conllu): 680 sentences>.
Loaded <UniversalDependenciesTreebank (ar_padt-ud-train.conllu): 6075 sentences>.
Loaded <UniversalDependenciesTreebank (all.conllu): 8993 sentences>.
Loaded <UniversalDependenciesTreebank (eu_bdt-ud-dev.conllu): 1798 sentences>.
Loaded <UniversalDependenciesTreebank (eu_bdt-ud-test.conllu): 1799 sentences>.
Loaded <UniversalDependenciesTreebank (eu_bdt-ud-train.conllu): 5396 sentences>.
Loaded <UniversalDependenciesTreebank (all.conllu): 4997 sentences>.
Loaded <UniversalDependenciesTreebank (zh_gsd-ud-dev.conllu): 500 sentences>.
Loaded <UniversalDependenciesTreebank (zh_gsd-ud-test.conllu): 500 sentences>.
Loaded <UniversalDependenciesTreebank (zh_gsd-ud-train.conllu): 3997 sentences>.
Loaded <UniversalDependenciesTreebank (all.conllu): 16621 sentences>.
Loaded <UniversalDependenciesTreebank (en_ewt-ud-dev.conllu): 2001 sentences>.
Loaded <UniversalDependenciesTreebank (en_ewt-ud-test.conllu): 2077 sentences>.
Loaded <UniversalDependenciesTreebank (en_ewt-ud-train.conllu): 12543 sentences>.
Loaded <UniversalDependenciesTreebank (all.conllu): 15136 sentences>.
Loaded <UniversalDependenciesTreebank (fi_tdt-ud-dev.conllu): 1364 sentences>.
Loaded <UniversalDependenciesTreebank (fi_tdt-ud-test.conllu): 1555 sentences>.
Loaded <UniversalDependenciesTreebank (fi_tdt-ud-train.conllu): 12217 sentences>.
Loaded <UniversalDependenciesTreebank (all.conllu): 6216 sentences>.
Loaded <UniversalDependenciesTreebank (he_htb-ud-dev.conllu): 484 sentences>.
Loaded <UniversalDependenciesTreebank (he_htb-ud-test.conllu): 491 sentences>.
Loaded <UniversalDependenciesTreebank (he_htb-ud-train.conllu): 5241 sentences>.
Loaded <UniversalDependenciesTreebank (all.conllu): 16647 sentences>.
Loaded <UniversalDependenciesTreebank (hi_hdtb-ud-dev.conllu): 1659 sentences>.
Loaded <UniversalDependenciesTreebank (hi_hdtb-ud-test.conllu): 1684 sentences>.
Loaded <UniversalDependenciesTreebank (hi_hdtb-ud-train.conllu): 13304 sentences>.
Loaded <UniversalDependenciesTreebank (all.conllu): 14167 sentences>.
Loaded <UniversalDependenciesTreebank (it_isdt-ud-dev.conllu): 564 sentences>.
Loaded <UniversalDependenciesTreebank (it_isdt-ud-test.conllu): 482 sentences>.
Loaded <UniversalDependenciesTreebank (it_isdt-ud-train.conllu): 13121 sentences>.
Loaded <UniversalDependenciesTreebank (all.conllu): 8100 sentences>.
Loaded <UniversalDependenciesTreebank (ja_gsd-ud-dev.conllu): 507 sentences>.
Loaded <UniversalDependenciesTreebank (ja_gsd-ud-test.conllu): 543 sentences>.
Loaded <UniversalDependenciesTreebank (ja_gsd-ud-train.conllu): 7050 sentences>.
Loaded <UniversalDependenciesTreebank (all.conllu): 6339 sentences>.
Loaded <UniversalDependenciesTreebank (ko_gsd-ud-dev.conllu): 950 sentences>.
Loaded <UniversalDependenciesTreebank (ko_gsd-ud-test.conllu): 989 sentences>.
Loaded <UniversalDependenciesTreebank (ko_gsd-ud-train.conllu): 4400 sentences>.
Loaded <UniversalDependenciesTreebank (all.conllu): 61889 sentences>.
Loaded <UniversalDependenciesTreebank (ru_syntagrus-ud-dev.conllu): 6584 sentences>.
Loaded <UniversalDependenciesTreebank (ru_syntagrus-ud-test.conllu): 6491 sentences>.
Loaded <UniversalDependenciesTreebank (ru_syntagrus-ud-train.conllu): 48814 sentences>.
Loaded <UniversalDependenciesTreebank (all.conllu): 6026 sentences>.
Loaded <UniversalDependenciesTreebank (sv_talbanken-ud-dev.conllu): 504 sentences>.
Loaded <UniversalDependenciesTreebank (sv_talbanken-ud-test.conllu): 1219 sentences>.
Loaded <UniversalDependenciesTreebank (sv_talbanken-ud-train.conllu): 4303 sentences>.
Loaded <UniversalDependenciesTreebank (all.conllu): 5635 sentences>.
Loaded <UniversalDependenciesTreebank (tr_imst-ud-dev.conllu): 988 sentences>.
Loaded <UniversalDependenciesTreebank (tr_imst-ud-test.conllu): 983 sentences>.
Loaded <UniversalDependenciesTreebank (tr_imst-ud-train.conllu): 3664 sentences>.
Loaded <UniversalDependencies: 52 treebanks, 356860 sentences> with 37 dependency relations.
Loaded training split with 28648 sentences.
Loaded dev split with 2419 sentences.
Some weights of the model checkpoint at bert-base-multilingual-cased were not used when initializing BertModel: ['cls.predictions.bias', 'cls.seq_relationship.bias', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.transform.dense.bias', 'cls.seq_relationship.weight', 'cls.predictions.decoder.weight', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.transform.dense.weight']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Constructed 'retroprobe' model:
RetroProbe:
  <BertModel: "bert-base-multilingual-cased", Layers [6, 7]>
  <RootedGraphPredictor: 768 -> 128>
  <DependencyLabelClassifier: 1536 -> 37>
Moved parser to CUDA device ('cuda').
Using RootedDependencyLoss with DependencyDistanceLoss and CrossEntropyLoss.
Optimizing using AdamW with learning rate 0.001.
Scheduler ReduceLROnPlateau reduces learning rate by 0.1 after 1 epoch without improvement.
Ignored unknown kwarg option direction
[Train | Batch 1 | 0.11%] Acc: no-decode, Loss: 23.72 + 13.21 = 36.9327Ignored unknown kwarg option direction
[Train | Batch 50 | 5.59%] Acc: no-decode, Loss: 5.23 + 2.95 = 8.1818Ignored unknown kwarg option direction
[Train | Batch 51 | 5.70%] Acc: no-decode, Loss: 5.15 + 2.92 = 8.0717Ignored unknown kwarg option direction
[Train | Batch 52 | 5.81%] Acc: no-decode, Loss: 5.07 + 2.89 = 7.9583Ignored unknown kwarg option direction
[Train | Batch 53 | 5.92%] Acc: no-decode, Loss: 4.99 + 2.86 = 7.8486Ignored unknown kwarg option direction
[Train | Batch 54 | 6.03%] Acc: no-decode, Loss: 4.92 + 2.83 = 7.7441Ignored unknown kwarg option direction
[Train | Batch 55 | 6.14%] Acc: no-decode, Loss: 4.84 + 2.80 = 7.6469Ignored unknown kwarg option direction
[Train | Batch 56 | 6.26%] Acc: no-decode, Loss: 4.77 + 2.77 = 7.5442Ignored unknown kwarg option direction
[Train | Batch 57 | 6.37%] Acc: no-decode, Loss: 4.71 + 2.75 = 7.4557Ignored unknown kwarg option direction
[Train | Batch 58 | 6.48%] Acc: no-decode, Loss: 4.64 + 2.72 = 7.3580Ignored unknown kwarg option direction
[Train | Batch 59 | 6.59%] Acc: no-decode, Loss: 4.57 + 2.69 = 7.2647Ignored unknown kwarg option direction
[Train | Batch 60 | 6.70%] Acc: no-decode, Loss: 4.51 + 2.67 = 7.1810Ignored unknown kwarg option direction
[Train | Batch 61 | 6.81%] Acc: no-decode, Loss: 4.45 + 2.64 = 7.0929Ignored unknown kwarg option direction
[Train | Batch 62 | 6.93%] Acc: no-decode, Loss: 4.40 + 2.61 = 7.0086Ignored unknown kwarg option direction
[Train | Batch 63 | 7.04%] Acc: no-decode, Loss: 4.34 + 2.59 = 6.9276Ignored unknown kwarg option direction
[Train | Batch 64 | 7.15%] Acc: no-decode, Loss: 4.28 + 2.57 = 6.8489Ignored unknown kwarg option direction
[Train | Batch 65 | 7.26%] Acc: no-decode, Loss: 4.23 + 2.58 = 6.8061Ignored unknown kwarg option direction
[Train | Batch 66 | 7.37%] Acc: no-decode, Loss: 4.18 + 2.55 = 6.7318Ignored unknown kwarg option direction
[Train | Batch 67 | 7.48%] Acc: no-decode, Loss: 4.13 + 2.53 = 6.6593Ignored unknown kwarg option direction
[Train | Batch 68 | 7.60%] Acc: no-decode, Loss: 4.08 + 2.51 = 6.5881Ignored unknown kwarg option direction
[Train | Batch 69 | 7.71%] Acc: no-decode, Loss: 4.03 + 2.49 = 6.5182Ignored unknown kwarg option direction
[Train | Batch 70 | 7.82%] Acc: no-decode, Loss: 3.98 + 2.47 = 6.4497Ignored unknown kwarg option direction
[Train | Batch 71 | 7.93%] Acc: no-decode, Loss: 3.94 + 2.44 = 6.3812Ignored unknown kwarg option direction
[Train | Batch 72 | 8.04%] Acc: no-decode, Loss: 3.89 + 2.42 = 6.3159Ignored unknown kwarg option direction
[Train | Batch 73 | 8.15%] Acc: no-decode, Loss: 3.85 + 2.40 = 6.2520Ignored unknown kwarg option direction
[Train | Batch 74 | 8.27%] Acc: no-decode, Loss: 3.81 + 2.38 = 6.1887Ignored unknown kwarg option direction
[Train | Batch 75 | 8.38%] Acc: no-decode, Loss: 3.76 + 2.36 = 6.1288Ignored unknown kwarg option direction
[Train | Batch 76 | 8.49%] Acc: no-decode, Loss: 3.72 + 2.34 = 6.0674Ignored unknown kwarg option direction
[Train | Batch 77 | 8.60%] Acc: no-decode, Loss: 3.68 + 2.32 = 6.0074Ignored unknown kwarg option direction
[Train | Batch 78 | 8.71%] Acc: no-decode, Loss: 3.65 + 2.31 = 5.9534Ignored unknown kwarg option direction
[Train | Batch 79 | 8.82%] Acc: no-decode, Loss: 3.61 + 2.29 = 5.8962Ignored unknown kwarg option direction
[Train | Batch 80 | 8.94%] Acc: no-decode, Loss: 3.57 + 2.27 = 5.8426Ignored unknown kwarg option direction
[Train | Batch 81 | 9.05%] Acc: no-decode, Loss: 3.54 + 2.26 = 5.7967Ignored unknown kwarg option direction
[Train | Batch 82 | 9.16%] Acc: no-decode, Loss: 3.50 + 2.24 = 5.7455Ignored unknown kwarg option direction
[Train | Batch 83 | 9.27%] Acc: no-decode, Loss: 3.47 + 2.23 = 5.7001Ignored unknown kwarg option direction
[Train | Batch 84 | 9.38%] Acc: no-decode, Loss: 3.44 + 2.21 = 5.6522Ignored unknown kwarg option direction
[Train | Batch 85 | 9.49%] Acc: no-decode, Loss: 3.40 + 2.20 = 5.6058Ignored unknown kwarg option direction
[Train | Batch 86 | 9.61%] Acc: no-decode, Loss: 3.37 + 2.19 = 5.5597Ignored unknown kwarg option direction
[Train | Batch 87 | 9.72%] Acc: no-decode, Loss: 3.34 + 2.17 = 5.5160Ignored unknown kwarg option direction
[Train | Batch 88 | 9.83%] Acc: no-decode, Loss: 3.31 + 2.16 = 5.4709Ignored unknown kwarg option direction
[Train | Batch 89 | 9.94%] Acc: no-decode, Loss: 3.28 + 2.14 = 5.4262Ignored unknown kwarg option direction
[Train | Batch 90 | 10.05%] Acc: no-decode, Loss: 3.25 + 2.13 = 5.3849Ignored unknown kwarg option direction
[Train | Batch 91 | 10.16%] Acc: no-decode, Loss: 3.23 + 2.12 = 5.3449Ignored unknown kwarg option direction
[Train | Batch 92 | 10.28%] Acc: no-decode, Loss: 3.20 + 2.11 = 5.3028Ignored unknown kwarg option direction
[Train | Batch 93 | 10.39%] Acc: no-decode, Loss: 3.17 + 2.09 = 5.2619Ignored unknown kwarg option direction
[Train | Batch 94 | 10.50%] Acc: no-decode, Loss: 3.14 + 2.08 = 5.2221Ignored unknown kwarg option direction
[Train | Batch 95 | 10.61%] Acc: no-decode, Loss: 3.12 + 2.07 = 5.1829Ignored unknown kwarg option direction
[Train | Batch 96 | 10.72%] Acc: no-decode, Loss: 3.09 + 2.06 = 5.1457Ignored unknown kwarg option direction
[Train | Batch 97 | 10.83%] Acc: no-decode, Loss: 3.06 + 2.04 = 5.1084Ignored unknown kwarg option direction
[Train | Batch 98 | 10.95%] Acc: no-decode, Loss: 3.04 + 2.03 = 5.0723Ignored unknown kwarg option direction
[Train | Batch 99 | 11.06%] Acc: no-decode, Loss: 3.01 + 2.02 = 5.0363Ignored unknown kwarg option direction
[Train | Batch 100 | 11.17%] Acc: no-decode, Loss: 2.99 + 2.01 = 5.0036Ignored unknown kwarg option direction
[Train | Batch 101 | 11.28%] Acc: no-decode, Loss: 2.97 + 2.00 = 4.9713Ignored unknown kwarg option direction
[Train | Batch 102 | 11.39%] Acc: no-decode, Loss: 2.94 + 1.99 = 4.9355Ignored unknown kwarg option direction
[Train | Batch 103 | 11.51%] Acc: no-decode, Loss: 2.92 + 1.98 = 4.9014Ignored unknown kwarg option direction
[Train | Batch 104 | 11.62%] Acc: no-decode, Loss: 2.90 + 1.97 = 4.8672Ignored unknown kwarg option direction
[Train | Batch 105 | 11.73%] Acc: no-decode, Loss: 2.88 + 1.96 = 4.8349Ignored unknown kwarg option direction
[Train | Batch 106 | 11.84%] Acc: no-decode, Loss: 2.86 + 1.95 = 4.8028Ignored unknown kwarg option direction
[Train | Batch 107 | 11.95%] Acc: no-decode, Loss: 2.83 + 1.94 = 4.7715Ignored unknown kwarg option direction
[Train | Batch 108 | 12.06%] Acc: no-decode, Loss: 2.81 + 1.93 = 4.7406Ignored unknown kwarg option direction
[Train | Batch 109 | 12.18%] Acc: no-decode, Loss: 2.79 + 1.92 = 4.7107Ignored unknown kwarg option direction
[Train | Batch 110 | 12.29%] Acc: no-decode, Loss: 2.77 + 1.91 = 4.6806Ignored unknown kwarg option direction
[Train | Batch 111 | 12.40%] Acc: no-decode, Loss: 2.75 + 1.90 = 4.6516Ignored unknown kwarg option direction
[Train | Batch 112 | 12.51%] Acc: no-decode, Loss: 2.74 + 1.89 = 4.6241Ignored unknown kwarg option direction
[Train | Batch 113 | 12.62%] Acc: no-decode, Loss: 2.72 + 1.88 = 4.5967Ignored unknown kwarg option direction
[Train | Batch 114 | 12.73%] Acc: no-decode, Loss: 2.70 + 1.87 = 4.5720Ignored unknown kwarg option direction
[Train | Batch 115 | 12.85%] Acc: no-decode, Loss: 2.68 + 1.86 = 4.5444Ignored unknown kwarg option direction
[Train | Batch 116 | 12.96%] Acc: no-decode, Loss: 2.66 + 1.86 = 4.5195Ignored unknown kwarg option direction
[Train | Batch 117 | 13.07%] Acc: no-decode, Loss: 2.65 + 1.85 = 4.4937Ignored unknown kwarg option direction
[Train | Batch 118 | 13.18%] Acc: no-decode, Loss: 2.63 + 1.84 = 4.4674Ignored unknown kwarg option direction
[Train | Batch 119 | 13.29%] Acc: no-decode, Loss: 2.61 + 1.83 = 4.4418Ignored unknown kwarg option direction
[Train | Batch 120 | 13.40%] Acc: no-decode, Loss: 2.59 + 1.82 = 4.4158Ignored unknown kwarg option direction
[Train | Batch 121 | 13.52%] Acc: no-decode, Loss: 2.58 + 1.81 = 4.3897Ignored unknown kwarg option direction
[Train | Batch 122 | 13.63%] Acc: no-decode, Loss: 2.56 + 1.80 = 4.3664Ignored unknown kwarg option direction
[Train | Batch 123 | 13.74%] Acc: no-decode, Loss: 2.55 + 1.80 = 4.3427Ignored unknown kwarg option direction
[Train | Batch 124 | 13.85%] Acc: no-decode, Loss: 2.53 + 1.79 = 4.3205Ignored unknown kwarg option direction
[Train | Batch 125 | 13.96%] Acc: no-decode, Loss: 2.52 + 1.78 = 4.2974Ignored unknown kwarg option direction
[Train | Batch 126 | 14.07%] Acc: no-decode, Loss: 2.50 + 1.77 = 4.2744Ignored unknown kwarg option direction
[Train | Batch 127 | 14.19%] Acc: no-decode, Loss: 2.49 + 1.77 = 4.2514Ignored unknown kwarg option direction
[Train | Batch 128 | 14.30%] Acc: no-decode, Loss: 2.47 + 1.76 = 4.2270Ignored unknown kwarg option direction
[Train | Batch 129 | 14.41%] Acc: no-decode, Loss: 2.46 + 1.75 = 4.2051Ignored unknown kwarg option direction
[Train | Batch 130 | 14.52%] Acc: no-decode, Loss: 2.44 + 1.74 = 4.1845Ignored unknown kwarg option direction
